iter	Logloss
0	0.6857612382
1	0.6758933043
2	0.6653756756
3	0.6558220343
4	0.6472672231
5	0.6409528652
6	0.6355125715
7	0.6267795731
8	0.6211353954
9	0.612962002
10	0.6055362515
11	0.600485106
12	0.5939080292
13	0.5891449647
14	0.5821348468
15	0.5758718327
16	0.5700857146
17	0.5647313654
18	0.5590241395
19	0.5553042461
20	0.550083058
21	0.5460033373
22	0.5424586247
23	0.5378607508
24	0.534378493
25	0.5294278471
26	0.5262436267
27	0.5232562942
28	0.5206495723
29	0.5174242258
30	0.514557847
31	0.5116122979
32	0.5088854513
33	0.5059739541
34	0.5030286802
35	0.5000985587
36	0.4974973828
37	0.4949508719
38	0.4914666261
39	0.4890551758
40	0.4869634815
41	0.4847806909
42	0.4825435957
43	0.4801555485
44	0.4772321909
45	0.4751094528
46	0.4730710869
47	0.4710724105
48	0.4683259672
49	0.4655478822
50	0.4637974868
51	0.4621280397
52	0.45979838
53	0.4580372672
54	0.4563640542
55	0.4545139926
56	0.4530559896
57	0.4515815154
58	0.4502902842
59	0.4486144498
60	0.4472443619
61	0.4456647643
62	0.4440301601
63	0.4419347753
64	0.4405848509
65	0.4392691785
66	0.4375619107
67	0.4363063283
68	0.4352635069
69	0.4337813383
70	0.4325562478
71	0.4312305436
72	0.430227644
73	0.428943558
74	0.4277537004
75	0.4263674156
76	0.4249965493
77	0.4239145698
78	0.422899762
79	0.4217052711
80	0.4201113708
81	0.4190787216
82	0.4179880711
83	0.416918766
84	0.4158634133
85	0.4146520561
86	0.4128205684
87	0.4110419306
88	0.4098411966
89	0.4088532588
90	0.4074567468
91	0.4064404298
92	0.4051663936
93	0.4042758261
94	0.4031879267
95	0.4023479149
96	0.4014266947
97	0.4004985396
98	0.3996092554
99	0.3988206964
100	0.3980087049
101	0.3971688944
102	0.3963523208
103	0.3955375033
104	0.3946962514
105	0.3933313532
106	0.392299348
107	0.3908519447
108	0.3900075859
109	0.3889790776
110	0.3878936917
111	0.3871327465
112	0.3864854822
113	0.3852695397
114	0.3846033532
115	0.3840200333
116	0.3828304746
117	0.3821825491
118	0.3809943377
119	0.3796530864
120	0.3786372015
121	0.3771282464
122	0.376462935
123	0.3759899378
124	0.3752795078
125	0.3746141357
126	0.3739553219
127	0.3729752862
128	0.3720107629
129	0.371402723
130	0.3706962966
131	0.3694374111
132	0.3681207239
133	0.367527225
134	0.3669551997
135	0.3658818241
136	0.365314263
137	0.3645897816
138	0.3637315998
139	0.3627525685
140	0.3609904026
141	0.3596269856
142	0.3588815011
143	0.357905645
144	0.3574202198
145	0.3565694736
146	0.3555184443
147	0.3549702789
148	0.3540240214
149	0.3527872102
150	0.3520841671
151	0.3515656184
152	0.350954614
153	0.3502045407
154	0.3494253102
155	0.3490455224
156	0.3485629349
157	0.3481292006
158	0.3473776401
159	0.3466872935
160	0.3461063248
161	0.3452472832
162	0.3443451668
163	0.3439800896
164	0.3435302537
165	0.3430002035
166	0.3412180922
167	0.3409393896
168	0.3401550537
169	0.3396929403
170	0.339369164
171	0.338300061
172	0.3377246819
173	0.3372196683
174	0.3365156947
175	0.3358148673
176	0.3351548362
177	0.3347072527
178	0.3342673787
179	0.3332674987
180	0.3324482459
181	0.3317402657
182	0.3310288395
183	0.3304479852
184	0.3300280579
185	0.3294718203
186	0.3288762752
187	0.3284746348
188	0.3276500205
189	0.3271235783
190	0.3267188975
191	0.3261235891
192	0.3254555937
193	0.324592894
194	0.3232093688
195	0.3216404477
196	0.3212378289
197	0.3207839185
198	0.3204507852
199	0.3199561822
