iter	Passed	Remaining
0	19	3862
1	36	3566
2	52	3448
3	70	3474
4	85	3345
5	100	3241
6	114	3165
7	130	3134
8	147	3128
9	168	3195
10	185	3187
11	209	3288
12	228	3291
13	249	3320
14	267	3303
15	291	3355
16	324	3488
17	350	3542
18	371	3541
19	392	3535
20	414	3533
21	435	3523
22	457	3523
23	477	3504
24	493	3451
25	507	3397
26	522	3349
27	540	3318
28	555	3277
29	572	3244
30	591	3224
31	607	3188
32	622	3149
33	636	3109
34	651	3069
35	665	3029
36	679	2992
37	694	2960
38	708	2925
39	725	2900
40	741	2873
41	755	2842
42	770	2814
43	785	2786
44	801	2760
45	816	2733
46	830	2704
47	845	2678
48	862	2657
49	877	2633
50	891	2605
51	906	2579
52	920	2553
53	934	2526
54	948	2500
55	962	2475
56	976	2450
57	992	2429
58	1007	2407
59	1021	2383
60	1035	2360
61	1050	2337
62	1064	2315
63	1077	2289
64	1091	2266
65	1106	2245
66	1120	2225
67	1135	2203
68	1148	2180
69	1162	2158
70	1174	2134
71	1190	2116
72	1204	2096
73	1221	2080
74	1235	2058
75	1254	2046
76	1267	2025
77	1280	2003
78	1295	1984
79	1311	1967
80	1326	1949
81	1340	1929
82	1355	1910
83	1370	1893
84	1385	1874
85	1400	1856
86	1414	1837
87	1429	1818
88	1442	1799
89	1456	1780
90	1470	1760
91	1485	1743
92	1500	1726
93	1516	1709
94	1531	1692
95	1547	1676
96	1562	1658
97	1574	1639
98	1588	1620
99	1602	1602
100	1617	1585
101	1629	1565
102	1645	1549
103	1659	1531
104	1671	1512
105	1684	1493
106	1698	1475
107	1711	1457
108	1725	1440
109	1740	1423
110	1753	1405
111	1766	1388
112	1781	1371
113	1794	1353
114	1806	1335
115	1820	1317
116	1833	1300
117	1847	1283
118	1862	1267
119	1877	1251
120	1893	1236
121	1909	1220
122	1922	1203
123	1935	1186
124	1949	1169
125	1963	1153
126	1991	1144
127	2004	1127
128	2019	1111
129	2032	1094
130	2046	1078
131	2060	1061
132	2073	1044
133	2088	1028
134	2102	1012
135	2116	996
136	2129	979
137	2143	962
138	2158	947
139	2173	931
140	2186	915
141	2199	898
142	2213	882
143	2226	865
144	2241	850
145	2255	834
146	2269	818
147	2282	801
148	2295	785
149	2310	770
150	2323	754
151	2336	737
152	2351	722
153	2363	705
154	2377	690
155	2390	674
156	2403	658
157	2416	642
158	2432	627
159	2446	611
160	2459	595
161	2475	580
162	2489	565
163	2505	549
164	2517	534
165	2534	519
166	2548	503
167	2560	487
168	2573	472
169	2587	456
170	2601	441
171	2616	425
172	2629	410
173	2642	394
174	2655	379
175	2669	364
176	2684	348
177	2696	333
178	2709	317
179	2722	302
180	2735	287
181	2748	271
182	2761	256
183	2774	241
184	2786	225
185	2800	210
186	2811	195
187	2823	180
188	2834	164
189	2847	149
190	2859	134
191	2872	119
192	2883	104
193	2896	89
194	2908	74
195	2920	59
196	2933	44
197	2945	29
198	2958	14
199	2971	0
